project_id,file_name,page,table_local_index,row_index,row_status,cell_hit_ratio,row_preview,missed_cells,md_file,file_id
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,2,10,部分,0.75,国民经济 | C2929 | 建设项目 | 三十五、电气机械和器材制造业 电,三十五、电气机械和器材制造业 电,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,9,2,11,疑似缺失,0.5,制品制造； 电线、电 | 77,制品制造； 电线、电,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,10,3,16,疑似缺失,0.5,其他符合性分 | 2021 11,2021 11,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,10,3,31,疑似缺失,0.5,区域 | 1-2. /,1-2. /,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,11,2,54,疑似缺失,0.667,2-1 / | 项目不涉及。 | 符合,2-1 /,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,12,2,2,疑似缺失,0.5,总量和强度 双控 ，新建高能耗项目单 | 项目生产过程中资源消耗量相,总量和强度 双控 ，新建高能耗项目单,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,12,2,15,疑似缺失,0.5,2-5. / | 强度、土地利用强度等建设用地,2-5. /,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,14,2,49,疑似缺失,0.667,2-1 / | 项目不涉及。 | 符合,2-1 /,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,14,2,58,疑似缺失,0.5,总量和强度 双控 ，新建高能耗项目单 | 项目生产过程中资源消耗量相,总量和强度 双控 ，新建高能耗项目单,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,15,2,10,疑似缺失,0.5,2-5. / | 强度、土地利用强度等建设用地,2-5. /,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,18,2,32,疑似缺失,0.5,低 含量产品规定的涂料、油墨、 | 发性有机物原辅材料（油性油墨、,低 含量产品规定的涂料、油墨、,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,18,2,37,疑似缺失,0.5,使用的原辅材料 含量（质量比） | 气罩收集后通过活性炭吸附废气,使用的原辅材料 含量（质量比）,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,18,2,40,疑似缺失,0.5,10% | 过排气筒 （ ）引至楼顶排放，,过排气筒 （ ）引至楼顶排放，,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,18,2,41,疑似缺失,0.5,排放收集措施。 | G1 24m,G1 24m,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,19,2,11,疑似缺失,0.5,制风速应不低于 米秒，有行业要求 | G1,制风速应不低于 米秒，有行业要求,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,19,2,12,疑似缺失,0.0,0.3 / | （ ）引至楼顶排放。,0.3 /；（ ）引至楼顶排放。,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,19,2,40,疑似缺失,0.5,炭，废旧活性炭应再生或处理处置。有 | G1 24m,G1 24m,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,19,2,42,疑似缺失,0.5,条件的工业园区和产业集群等，推广集 | 根据污染源强核算结果， 初,根据污染源强核算结果， 初,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,19,2,44,疑似缺失,0.5,生等，加强资源共享，提高 治理 | 始排放速率小于2kg/h。项目的有,生等，加强资源共享，提高 治理,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
PL018,PL018_广东台塑智能科技有限公司新建项目_01_受理公告或公示版.pdf,20,2,13,疑似缺失,0.5,4 | 补充通知》（粤环函〔 〕 号）,补充通知》（粤环函〔 〕 号）,解析文本拼接_表格清洗增强_01_001-020.md,017_广东台塑智能科技有限公司新建项目_01_受理公告或公示版
