Q01,guide_explicit,胶粘剂VOCs含量,medium,不合规(超标140%)
Q02,guide_explicit,活性炭更换周期,medium,不合理(理论约15.6天)
Q03,case_experience,收集效率取值,medium,不合理(应<=80%)
Q04,case_experience,VOCs总量替代,medium,不可接受
Q05,cross_check,多证据交叉-工艺×VOCs,medium,不合理(实际约48%)
Q06,negative_control,活性炭安全设施,,缺失安全设施
Q07,guide_explicit,标准适用层级,medium,标准引用不当
Q08,guide_explicit,VOCs物料储存,easy,"缺失储存描述,应退回补充"
Q09,guide_explicit,危废识别-非活性炭,easy,遗漏废胶水桶(HW49)
Q10,standard_calculation,风量核算,hard,设计风量偏高
Q11,standard_calculation,活性炭过滤风速,medium,过滤风速超标
Q12,standard_calculation,废活性炭产生量,medium,废活性炭量核算偏低
Q13,case_experience,复合工艺VOCs,medium,工艺描述与原料/设备矛盾
Q14,case_experience,冷却水排放,medium,可能存在隐性排放
Q15,case_experience,环境风险,hard,缺失环境风险评价
Q16,cross_check,VOCs源强全链路,hard,全链路核算不一致
Q17,cross_check,危废×原辅料,medium,遗漏废液压油(HW08)和废切削液(HW09)
Q18,cross_check,监测计划×排气筒,medium,排气筒与产污源不匹配
